,REGION,CROP,TOTAL RAINFALL(MM),AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
560,1,5,1366,2520.0,6.35,16002.0
561,1,5,1366,708.0,5.0,3540.0
562,1,5,1366,3248.0,7.1,23060.8
563,1,5,1366,3885.0,7.4,28749.0
564,1,5,1366,10250.0,7.4,75850.0
565,1,5,1366,1095.0,6.8,7446.0
566,1,5,1366,2580.0,6.9,17802.0
567,1,5,1366,289.0,6.5,1878.5
568,1,5,1366,483.0,6.48,3129.84
569,1,4,1366,3724.0,11.0,40964.0
570,1,4,1366,16925.0,15.6,264030.0
571,1,4,1366,988.0,7.6,7508.8
572,1,4,1366,2808.0,9.7,27237.6
573,1,4,1366,2485.0,9.9,24601.5
574,1,4,1366,3544.0,11.6,41110.4
575,1,4,1366,3650.0,11.5,41975.0
576,1,4,1366,492.0,7.1,3493.2
577,1,4,1366,7682.0,10.4,79892.8
578,1,4,1366,7785.0,18.6,144801.0
579,1,4,1366,10465.0,18.6,194649.0
580,1,4,1366,592.0,7.5,4440.0
581,1,4,1366,920.0,7.5,6900.0
582,1,4,1366,32.0,7.5,240.0
583,1,4,1366,45.0,6.7,301.5
584,7,9,902,3511.0,1.3,4564.3
585,7,9,902,8238.0,1.26,10379.88
586,7,9,902,3648.0,1.24,4523.52
587,7,9,902,7604.0,1.1,8364.4
588,7,9,902,23018.0,1.18,27161.24
589,7,9,902,4685.0,0.96,4497.6
590,7,9,902,11433.0,0.49,5602.17
591,7,9,902,3205.0,1.02,3269.1
592,7,8,902,19232.0,1.3,25001.6
593,7,8,902,11694.0,1.32,15436.08
594,7,8,902,13094.0,1.95,25533.3
595,7,8,902,10810.0,1.2,12972.0
596,7,8,902,13674.0,1.34,18323.16
597,7,8,902,10518.0,1.06,11149.08
598,7,8,902,9714.0,0.77,7479.78
599,7,8,902,7866.0,1.18,9281.88
600,7,7,902,9636.0,1.26,12141.36
601,7,7,902,11977.0,1.48,17725.96
602,7,7,902,11310.0,1.43,16173.3
603,7,7,902,10140.0,1.3,13182.0
